m,obs,exp,normWidth
3454.0,0.00029161531637951515,0.00041023898564581973,0.0
3488.0,0.00028901056277738933,0.0004045605884776172,0.0
3522.0,0.0002868802398321374,0.00039902790855371863,0.0
3557.0,0.0002852586075702696,0.00039333250274970535,0.0
3592.0,0.0002837793985214636,0.00038867831750229404,0.0
3627.0,0.00028281602094603893,0.00038409437259396986,0.0
3663.0,0.00028189026530357444,0.0003793794578311221,0.0
3699.0,0.00028142576554982684,0.0003754240058826965,0.0
3735.0,0.00028097201049364956,0.00037156519491989985,0.0
3772.0,0.0002804719422454198,0.00036759919476369213,0.0
3809.0,0.00028005662505983006,0.00036404559147509244,0.0
3846.0,0.00028019030627986707,0.00036052788648814176,0.0
3884.0,0.00028038320854527517,0.0003569151083934357,0.0
3922.0,0.0002807881866511342,0.0003553159205010367,0.0
3961.0,0.0002819930506562585,0.00035401346572743375,0.0
4000.0,0.00028509096827505025,0.0003527110109538308,0.0
350.0,0.08991058691098097,0.07796981664086762,0.056
353.0,0.09277019782046217,0.07657049763909073,0.056
357.0,0.09658301236643708,0.07470473897005488,0.056
360.0,0.09903515700185957,0.073305419968278,0.056
364.0,0.09995967749241813,0.07151509074731591,0.056
368.0,0.10022635101820278,0.06980358921397763,0.056
371.0,0.0998007265940116,0.06851996306397391,0.056
375.0,0.09698054253297975,0.06700559506728186,0.056
378.0,0.09287067259241621,0.06588022318736682,0.056
382.0,0.08307303419916302,0.06437229795519152,0.056
386.0,0.0740892333650378,0.06283469205006648,0.056
390.0,0.06647799662606649,0.06129708614494145,0.056
394.0,0.05914728385808939,0.06007932266476318,0.056
397.0,0.056190738724206726,0.05931861138018264,0.056
401.0,0.052832050725800696,0.058304329667408596,0.056
405.0,0.05028507326995621,0.05745088393443865,0.056
409.0,0.04832854734772166,0.05670047688701513,0.056
413.0,0.046889940356376995,0.055950069839591596,0.056
417.0,0.04610272486743894,0.05524544517486347,0.056
422.0,0.045362570130460765,0.05440903288811291,0.056
426.0,0.044901473541005175,0.053739903058712464,0.056
430.0,0.045213916878014834,0.05301487943968099,0.056
434.0,0.04576289194648486,0.05228050828414285,0.056
438.0,0.047087049754321084,0.051546137128604716,0.056
443.0,0.04907151288533531,0.0509717813380365,0.056
447.0,0.050527668833918904,0.050628407718719494,0.056
451.0,0.0519752454698948,0.05009210006447452,0.056
456.0,0.05227510158756059,0.0493017740540987,0.056
460.0,0.052014303488290586,0.04866951324579804,0.056
465.0,0.04934941928303791,0.04787918723542221,0.056
469.0,0.04703043692947365,0.04737245625249191,0.056
474.0,0.043958180362941884,0.04677222755237636,0.056
479.0,0.041398263953907485,0.04617199885226081,0.056
483.0,0.04008167720274649,0.045684477520437146,0.056
488.0,0.038776347110412696,0.04506888062346281,0.056
493.0,0.037967077246586156,0.04444334856867955,0.056
498.0,0.036582802046120085,0.04369160816318134,0.056
503.0,0.03452071133440132,0.04293986775768313,0.056
508.0,0.031221434684823073,0.042132851563933656,0.056
513.0,0.027809112496372686,0.04122310720624489,0.056
518.0,0.024375944107732826,0.040313362848556133,0.056
523.0,0.021521681278274408,0.03944998598698719,0.056
528.0,0.01984705771066872,0.038603882444400904,0.056
533.0,0.01900022988088573,0.037760469766276235,0.056
538.0,0.018765350962492964,0.03698255372244851,0.056
544.0,0.019265889565288255,0.03604905446985524,0.056
549.0,0.02037003606450531,0.035306843503892626,0.056
554.0,0.022816664828887237,0.03460320070483235,0.056
560.0,0.026402321867553584,0.03375882934596002,0.056
565.0,0.029697195068840578,0.033093413442046735,0.056
571.0,0.03384299516238801,0.03230297339281655,0.056
576.0,0.03661833114640724,0.031662699487904074,0.056
582.0,0.03845744635647091,0.0309367202131136,0.056
588.0,0.03925268677751858,0.030210740938323124,0.056
594.0,0.039145409548513546,0.029517341479231053,0.056
599.0,0.03844286145238268,0.02895475015842801,0.056
605.0,0.03701135502040434,0.028279640573464365,0.056
611.0,0.035124549687129775,0.027621942122677347,0.056
617.0,0.03353086379083824,0.026965607326881018,0.056
623.0,0.032280735173479416,0.0263275904936542,0.056
630.0,0.03237200587959289,0.025614872564198827,0.056
636.0,0.033305023678048995,0.025003971481808506,0.056
642.0,0.035017386084500196,0.024132663722248968,0.056
